no,ticker,name,industry_code,industry
132,002990,금호산업,064101,건물 건설업
134,214330,금호에이치티,033003,자동차 신품 부품 제조업
135,001210,금호전기,032804,전구 및 조명장치 제조업
136,073240,금호타이어,032201,고무제품 제조업
137,092440,기신정기,032902,특수 목적용 기계 제조업
138,000270,기아자동차,033001,자동차용 엔진 및 자동차 제조업
139,024110,기업은행,116401,은행 및 저축기관
140,013700,까뮤이앤씨,064101,건물 건설업
141,004540,깨끗한나라,031701,"펄프, 종이 및 판지 제조업"
142,074610,나노메딕스,032901,일반 목적용 기계 제조업
143,001260,남광토건,064102,토목 건설업
144,008350,남선알미늄,032402,1차 비철금속 제조업
145,004270,남성,074607,기타 전문 도매업
146,003920,남양유업,031005,낙농제품 및 식용빙과류 제조업
147,002070,남영비비안,031401,봉제의복 제조업
148,025860,남해화학,032003,"비료, 농약 및 살균, 살충제 제조업"
149,005720,넥센,116409,기타 금융업
150,002350,넥센타이어,032201,고무제품 제조업
151,251270,넷마블게임즈,105802,소프트웨어 개발 및 공급업
