no,ticker,name,industry_code,industry
671,109960,에이프로젠 H&G,032604,통신 및 방송 장비 제조업
672,043580,에임하이,032602,전자부품 제조업
673,214870,에치디프로,032604,통신 및 방송 장비 제조업
674,230360,에코마케팅,137103,광고업
675,038870,에코바이오,064202,건물설비 설치 공사업
676,086520,에코프로,032004,기타 화학제품 제조업
677,038110,에코플라스틱,033003,자동차 신품 부품 제조업
678,073540,에프알텍,032604,통신 및 방송 장비 제조업
679,064090,에프앤리퍼블릭,032604,통신 및 방송 장비 제조업
680,036810,에프에스티,032602,전자부품 제조업
681,063440,에프엔씨애드컬쳐,031802,기록매체 복제업
682,173940,에프엔씨엔터,105902,오디오물 출판 및 원판 녹음업
683,083500,에프엔에스테크,032902,특수 목적용 기계 제조업
684,065160,에프티이앤이,032005,화학섬유 제조업
685,054940,엑사이엔씨,064204,실내건축 및 건축마무리 공사업
686,950130,엑세스바이오,032103,의료용품 및 기타 의약 관련제품 제조업
687,205100,엑셈,105802,소프트웨어 개발 및 공급업
688,092870,엑시콘,032902,특수 목적용 기계 제조업
689,067570,엔브이에이치코리아,033003,자동차 신품 부품 제조업
690,101400,엔시트론,032601,반도체 제조업
691,217820,엔에스,032902,특수 목적용 기계 제조업
692,031860,엔에스엔,074608,상품 종합 도매업
693,256630,엔에이치스팩10호,116601,금융 지원 서비스업
694,256840,엔에이치스팩11호,116601,금융 지원 서비스업
695,273060,엔에이치스팩12호,116601,금융 지원 서비스업
696,208860,엔지스테크널러지,105802,소프트웨어 개발 및 공급업
697,206400,엔터메이트,105802,소프트웨어 개발 및 공급업
698,069410,엔텔스,105802,소프트웨어 개발 및 공급업
699,048830,엔피케이,032002,합성고무 및 플라스틱 물질 제조업
700,096870,엘디티,032601,반도체 제조업
701,061970,엘비세미콘,032601,반도체 제조업
702,138690,엘아이에스,032902,특수 목적용 기계 제조업
703,066970,엘앤에프,032802,일차전지 및 축전지 제조업
704,156100,엘앤케이바이오,032701,의료용 기기 제조업
705,073110,엘엠에스,032703,사진장비 및 광학기기 제조업
706,083310,엘오티베큠,032902,특수 목적용 기계 제조업
707,037950,엘컴텍,032602,전자부품 제조업
708,170920,엘티씨,032001,기초 화학물질 제조업
709,058630,엠게임,105802,소프트웨어 개발 및 공급업
710,019590,엠벤처투자,116402,신탁업 및 집합투자업
711,097520,엠씨넥스,032605,영상 및 음향기기 제조업
712,009780,엠에스씨,031007,기타 식품 제조업
713,123040,엠에스오토텍,033003,자동차 신품 부품 제조업
714,032790,엠젠플러스,074605,기계장비 및 관련 물품 도매업
715,033160,엠케이전자,032602,전자부품 제조업
716,259630,엠플러스,032902,특수 목적용 기계 제조업
717,115960,연우,032202,플라스틱제품 제조업
718,090740,연이정보통신,032602,전자부품 제조업
719,007530,영신금속,032509,기타 금속 가공제품 제조업
720,143540,영우디에스피,032902,특수 목적용 기계 제조업
721,036180,영인프런티어,074605,기계장비 및 관련 물품 도매업
722,036560,영풍정밀,032901,일반 목적용 기계 제조업
723,265560,영화테크,033003,자동차 신품 부품 제조업
725,053280,예스24,074709,무점포 소매업
726,122640,예스티,032902,특수 목적용 기계 제조업
727,900300,오가닉티코스메틱,116409,기타 금융업
728,045060,오공,032004,기타 화학제품 제조업
729,080520,오디텍,032601,반도체 제조업
730,039830,오로라,137302,전문디자인업
731,046120,오르비텍,137209,기타 과학기술 서비스업
732,014940,오리엔탈정공,033101,선박 및 보트 건조업
733,065500,오리엔트정공,033003,자동차 신품 부품 제조업
734,010470,오리콤,137103,광고업
735,053980,오상자이엘,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
736,052420,오성엘에스티,032202,플라스틱제품 제조업
737,241790,오션브릿지,032004,기타 화학제품 제조업
738,039200,오스코텍,032102,의약품 제조업
739,031510,오스템,033003,자동차 신품 부품 제조업
740,048260,오스템임플란트,032701,의료용 기기 제조업
741,138080,오이솔루션,032604,통신 및 방송 장비 제조업
742,080580,오킨스전자,032602,전자부품 제조업
743,067170,오텍,116409,기타 금융업
744,049480,오픈베이스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
745,057540,옴니시스템,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
746,057680,옴니텔,105802,소프트웨어 개발 및 공급업
747,123010,옵토팩,032602,전자부품 제조업
748,082210,옵트론텍,032703,사진장비 및 광학기기 제조업
749,109080,옵티시스,032604,통신 및 방송 장비 제조업
750,052770,와이디온라인,105802,소프트웨어 개발 및 공급업
751,057030,와이비엠넷,168507,교육지원 서비스업
752,122990,와이솔,032602,전자부품 제조업
753,232140,와이아이케이,032902,특수 목적용 기계 제조업
754,067900,와이엔텍,053802,폐기물 처리업
755,155650,와이엠씨,032602,전자부품 제조업
756,251370,와이엠티,032001,기초 화학물질 제조업
757,066430,와이오엠,074607,기타 전문 도매업
758,193250,와이제이엠게임즈,032602,전자부품 제조업
759,019210,와이지-원,032509,기타 금속 가공제품 제조업
760,122870,와이지엔터테인먼트,105902,오디오물 출판 및 원판 녹음업
761,079000,와토스코리아,032202,플라스틱제품 제조업
762,900180,완리,116409,기타 금융업
763,114630,우노앤컴퍼니,032005,화학섬유 제조업
764,032820,우리기술,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
765,041190,우리기술투자,116409,기타 금융업
766,115440,우리넷,032604,통신 및 방송 장비 제조업
767,046970,우리로,032604,통신 및 방송 장비 제조업
768,215360,우리산업,033003,자동차 신품 부품 제조업
769,072470,우리산업홀딩스,116409,기타 금융업
770,073560,우리손에프앤지,010102,축산업
771,153490,우리이앤엘,032601,반도체 제조업
772,082850,우리이티아이,032804,전구 및 조명장치 제조업
773,037400,우리조명,032804,전구 및 조명장치 제조업
774,101170,우림기계,032901,일반 목적용 기계 제조업
775,194610,우성아이비,033309,그외 기타 제품 제조업
